index,est,value,num_actions_per_user,se,bias,variance,true_value
0,cavg,13.421047117620255,5,0.08332646619111682,0.0437194936069104,0.006331571162223451,13.709710357730797
0,cips,13.535804185449068,5,0.03024335675768241,0.005396034171142887,0.06118888693281875,13.709710357730797
0,cdr,13.628648403163949,5,0.006571040478197847,0.013144130653022433,0.03830232955543688,13.709710357730797
1,cavg,13.601257116210078,5,0.011762105596351383,0.0437194936069104,0.010128173735123687,13.709710357730797
1,cips,13.920489809842675,5,0.044427977432583185,0.005396034171142887,0.0188572627023006,13.709710357730797
1,cdr,13.905242728297878,5,0.038232907939582304,0.013144130653022433,0.006542304860693337,13.709710357730797
2,cavg,13.526437899411276,5,0.03358879397848076,0.0437194936069104,0.0006666523312808745,13.709710357730797
2,cips,13.820289228757316,5,0.01222768671749947,0.005396034171142887,0.0013779810948801603,13.709710357730797
2,cdr,13.880912653251562,5,0.02931022599157914,0.013144130653022433,0.003198404744135309,13.709710357730797
3,cavg,13.608238868724131,5,0.010296463081230013,0.0437194936069104,0.011582189386444256,13.709710357730797
3,cips,14.034930448933954,5,0.10576810772218967,0.005396034171142887,0.06338429997287169,13.709710357730797
3,cdr,14.045666174637827,5,0.11286631091366943,0.013144130653022433,0.04897721400938585,13.709710357730797
4,cavg,13.34611043824229,5,0.13220490145204902,0.0437194936069104,0.023872675649607437,13.709710357730797
4,cips,13.604326632069967,5,0.01110572963415724,0.005396034171142887,0.03198425670552607,13.709710357730797
4,cdr,13.661321104235636,5,0.0023415198538189607,0.013144130653022433,0.026581098742084964,13.709710357730797
0,cavg,13.55359742395264,10,0.024371248092823317,0.021150185710563648,0.00011410297844490787,13.709710357730797
0,cips,13.704526337778752,10,2.6874062863202766e-05,0.0009001036680020266,0.0006159186203586515,13.709710357730797
0,cdr,13.643000923945992,10,0.004450148555889265,0.0019482462495299788,0.012287362536308084,13.709710357730797
1,cavg,13.628119091611604,10,0.006657134706933096,0.021150185710563648,0.0040755159895250965,13.709710357730797
1,cips,13.639469747860273,10,0.004933743274983145,0.0009001036680020266,0.0016191676342867459,13.709710357730797
1,cdr,13.844279164516538,10,0.018108763759737887,0.0019482462495299788,0.008177560345494087,13.709710357730797
2,cavg,13.551226085921172,10,0.02511726441102713,0.021150185710563648,0.00017038701190645304,13.709710357730797
2,cips,13.780648594438903,10,0.0050322334272552074,0.0009001036680020266,0.010188876424860485,13.709710357730797
2,cdr,13.953963780664159,10,0.05965973461466367,0.0019482462495299788,0.04004580525865956,13.709710357730797
3,cavg,13.695391932821286,10,0.00020501729188931675,0.021150185710563648,0.017190516316837403,13.709710357730797
3,cips,13.68832207680888,10,0.0004574585607948303,0.0009001036680020266,7.419146626507033e-05,13.709710357730797
3,cdr,13.732126991739952,10,0.0005025054803003723,0.0019482462495299788,0.000471858688391819,13.709710357730797
4,cavg,13.393062083311484,10,0.10026612969272847,0.021150185710563648,0.029315343345866638,13.709710357730797
4,cips,13.585576393015776,10,0.01540924119587014,0.0009001036680020266,0.008860878035985868,13.709710357730797
4,cdr,13.595875640542882,10,0.012958342837252602,0.0019482462495299788,0.02495567717134051,13.709710357730797
0,cavg,13.573896532435803,15,0.018445395141259115,0.005798569730906075,0.003559970099326255,13.709710357730797
0,cips,13.308550390285058,15,0.16092931948106665,0.05058782687725975,0.031061450373041137,13.709710357730797
0,cdr,13.364533389953069,15,0.11914713908422706,0.04142666791122421,0.020062327558150957,13.709710357730797
1,cavg,13.734722349332387,15,0.0006255997238779787,0.005798569730906075,0.010233412751052775,13.709710357730797
1,cips,13.87863360026667,15,0.028535061868833558,0.05058782687725975,0.15511043429804408,13.709710357730797
1,cdr,13.689609865020842,15,0.00040402980718298346,0.04142666791122421,0.03364837319577784,13.709710357730797
2,cavg,13.664516874915705,15,0.0020424508889580312,0.005798569730906075,0.0009582032020985459,13.709710357730797
2,cips,13.504947219095389,15,0.04192794294382362,0.05058782687725975,0.0004061933599623735,13.709710357730797
2,cdr,13.606836879195136,15,0.010582952586027214,0.04142666791122421,0.0101328268138004,13.709710357730797
3,cavg,13.72108282733005,15,0.00012933306478594327,0.005798569730906075,0.007659892165951646,13.709710357730797
3,cips,13.427520448982657,15,0.07963114459928389,0.05058782687725975,0.0032801427908083795,13.709710357730797
3,cdr,13.54135835816141,15,0.02834239575901079,0.04142666791122421,0.0012378731970780505,13.709710357730797
4,cavg,13.473591503124892,15,0.0557521135004047,0.005798569730906075,0.025590565446326444,13.709710357730797
4,cips,13.304313240570355,15,0.16434682260199715,0.05058782687725975,0.032572936286848535,13.709710357730797
4,cdr,13.328536187521031,15,0.14529374803510364,0.04142666791122421,0.03155552495062195,13.709710357730797
0,cavg,13.63196824465205,20,0.006043836145948687,0.0005549751054219203,0.0029359279050158887,13.709710357730797
0,cips,13.356168827907927,20,0.12499161330949521,0.04975336403652368,0.017026833323212007,13.709710357730797
0,cdr,13.491217656427915,20,0.04773906052263037,0.02311121257624393,0.004418124979799146,13.709710357730797
1,cavg,13.802297573123251,20,0.008572392454128684,0.0005549751054219203,0.013489690062964648,13.709710357730797
1,cips,13.431428888144067,20,0.07744057631535023,0.04975336403652368,0.0030500047832636547,13.709710357730797
1,cdr,13.505453851939711,20,0.04172072015798409,0.02311121257624393,0.002728263522009792,13.709710357730797
2,cavg,13.700408763516744,20,8.651965492290156e-05,0.0005549751054219203,0.00020324252880729528,13.709710357730797
2,cips,13.481865747818029,20,0.05191316626630162,0.04975336403652368,2.2943991914658202e-05,13.709710357730797
2,cdr,13.58810969694002,20,0.014786720704753752,0.02311121257624393,0.0009255627585055422,13.709710357730797
3,cavg,13.773630799879065,20,0.004085822924430045,0.0005549751054219203,0.007652462027193543,13.709710357730797
3,cips,13.844239761849217,20,0.01809816057245697,0.04975336403652368,0.12786633515947432,13.709710357730797
3,cdr,13.797807238556523,20,0.007761060411222067,0.02311121257624393,0.05765790473143084,13.709710357730797
4,cavg,13.522456859408576,20,0.03506387263391,0.0005549751054219203,0.026796245762249423,13.709710357730797
4,cips,13.319575456958868,20,0.15220524080032344,0.04975336403652368,0.02791581982344601,13.709710357730797
4,cdr,13.405844726147901,20,0.09233432205727243,0.02311121257624393,0.023055964980898284,13.709710357730797
0,cavg,13.682534971654535,25,0.0007385016083939078,0.0018539708309616657,0.004932695027555748,13.709710357730797
0,cips,13.592790050830825,25,0.013670358165583747,0.009868686126611927,0.0003090228566039801,13.709710357730797
0,cdr,13.785633637364212,25,0.005764344390293669,0.010505313674771255,0.03183323682439185,13.709710357730797
1,cavg,13.876503990132765,25,0.02782011580984264,0.0018539708309616657,0.015310565731859488,13.709710357730797
1,cips,14.1190485360747,25,0.16755774424990508,0.009868686126611927,0.2587547719576762,13.709710357730797
1,cdr,13.922564658173702,25,0.045306953217038225,0.010505313674771255,0.09944545404072966,13.709710357730797
2,cavg,13.740199567075662,25,0.0009295918864749618,0.0018539708309616657,0.00015796850490247636,13.709710357730797
2,cips,13.39531813091827,25,0.09884247228013983,0.009868686126611927,0.04624691791954052,13.709710357730797
2,cdr,13.701833245669125,25,6.20488944321467e-05,0.010505313674771255,0.008952626554639449,13.709710357730797
3,cavg,13.887149792775203,25,0.03148475310887781,0.0018539708309616657,0.018058434167208967,13.709710357730797
3,cips,13.713316230803393,25,1.3002320615671875e-05,0.009868686126611927,0.010598112402923222,13.709710357730797
3,cdr,13.30132366047329,25,0.16677969449689467,0.010505313674771255,0.09356946588058594,13.709710357730797
4,cavg,13.577452274839267,25,0.017492200490142898,0.0018539708309616657,0.030735645317397507,13.709710357730797
4,cips,13.231372535289985,25,0.2288070723774179,0.009868686126611927,0.1436383936238583,13.709710357730797
4,cdr,13.324719424683199,25,0.14821801852886043,0.010505313674771255,0.07980370785331596,13.709710357730797
